ENRLMT_YEAR,total,n_mismatch,n_first_mm,n_last_mm,mismatch_rate,first_mm_rate,last_mm_rate
2003,5859,226,103,126,3.86,1.76,2.15
2004,70057,2381,1108,1303,3.4,1.58,1.86
2005,56807,1968,940,1062,3.46,1.65,1.87
2006,33209,1112,491,635,3.35,1.48,1.91
2007,39593,1262,536,740,3.19,1.35,1.87
2008,43134,1409,660,767,3.27,1.53,1.78
2009,38273,1180,547,651,3.08,1.43,1.7
2010,73436,2025,1000,1044,2.76,1.36,1.42
2011,47627,1404,639,794,2.95,1.34,1.67
2012,39073,1205,473,749,3.08,1.21,1.92
2013,31955,920,340,589,2.88,1.06,1.84
2014,36830,965,414,562,2.62,1.12,1.53
2015,41113,1151,400,768,2.8,0.97,1.87
2016,43470,1124,359,780,2.59,0.83,1.79
2017,46877,1109,329,793,2.37,0.7,1.69
2018,48994,1100,331,785,2.25,0.68,1.6
2019,55587,1196,306,904,2.15,0.55,1.63
2020,58635,1316,330,1002,2.24,0.56,1.71
2021,68297,1592,411,1197,2.33,0.6,1.75
2022,78378,1644,418,1243,2.1,0.53,1.59
2023,70089,1392,416,990,1.99,0.59,1.41
2024,31928,512,194,322,1.6,0.61,1.01
2025,24964,593,178,420,2.38,0.71,1.68
