ENRLMT_YEAR,total,n_changed,change_rate
2003,5859,71,1.21
2004,70057,1289,1.84
2005,56807,1294,2.28
2006,33209,862,2.6
2007,39593,1528,3.86
2008,43134,1888,4.38
2009,38273,2068,5.4
2010,73436,2705,3.68
2011,47627,2996,6.29
2012,39073,2895,7.41
2013,31955,3032,9.49
2014,36830,4026,10.93
2015,41113,4961,12.07
2016,43470,5709,13.13
2017,46877,7125,15.2
2018,48994,7975,16.28
2019,55587,9390,16.89
2020,58635,11809,20.14
2021,68297,13578,19.88
2022,78378,17395,22.19
2023,70089,20904,29.82
2024,31928,21842,68.41
2025,24964,23739,95.09
