ENRLMT_YEAR,total,mismatch_rate,change_rate,combined_risk,anomalous
2003,5859,3.86,1.21,5.07,False
2004,70057,3.4,1.84,5.24,False
2005,56807,3.46,2.28,5.74,False
2006,33209,3.35,2.6,5.95,False
2007,39593,3.19,3.86,7.05,False
2008,43134,3.27,4.38,7.65,False
2009,38273,3.08,5.4,8.48,False
2010,73436,2.76,3.68,6.4399999999999995,False
2011,47627,2.95,6.29,9.24,False
2012,39073,3.08,7.41,10.49,False
2013,31955,2.88,9.49,12.370000000000001,False
2014,36830,2.62,10.93,13.55,False
2015,41113,2.8,12.07,14.870000000000001,False
2016,43470,2.59,13.13,15.72,False
2017,46877,2.37,15.2,17.57,False
2018,48994,2.25,16.28,18.53,False
2019,55587,2.15,16.89,19.04,False
2020,58635,2.24,20.14,22.380000000000003,False
2021,68297,2.33,19.88,22.21,False
2022,78378,2.1,22.19,24.290000000000003,False
2023,70089,1.99,29.82,31.81,False
2024,31928,1.6,68.41,70.00999999999999,True
2025,24964,2.38,95.09,97.47,True
